channel_id,name,program_id,url
29,"FIBA Basketball (Upcoming)",Up_vIBeWH3zmMg,https://www.youtube.com/watch?v=vIBeWH3zmMg
30,"NFL on NBC (Upcoming)",Up_MGLYr4blOoU,https://www.youtube.com/watch?v=MGLYr4blOoU
31,"Topstep (Upcoming)",Up_cTKpkb8a13I,https://www.youtube.com/watch?v=cTKpkb8a13I
32,"CaliKim29 Garden & Home DIY (Upcoming)",Up_IIczMz6kb-A,https://www.youtube.com/watch?v=IIczMz6kb-A
33,"officialgtvid (Upcoming)",Up_zD9gPov-YIQ,https://www.youtube.com/watch?v=zD9gPov-YIQ
34,"Capcom Fighters (Upcoming)",Up_ns_PETGSKjo,https://www.youtube.com/watch?v=ns_PETGSKjo
35,"Goblin (Upcoming)",Up_ds2q0wh-YE0,https://www.youtube.com/watch?v=ds2q0wh-YE0
36,"Barclays Women's Super League (Upcoming)",Up_LzENVjTV46A,https://www.youtube.com/watch?v=LzENVjTV46A
37,"KBS충북 (Upcoming)",Up_z9w2gupaTh8,https://www.youtube.com/watch?v=z9w2gupaTh8
38,"News 24 (Upcoming)",Up_jWYCuzrT2OU,https://www.youtube.com/watch?v=jWYCuzrT2OU
39,"2819 Church (Upcoming)",Up_D2y-qrpF4KQ,https://www.youtube.com/watch?v=D2y-qrpF4KQ
40,"DD Bangla News (Upcoming)",Up_QcKSveLb8YI,https://www.youtube.com/watch?v=QcKSveLb8YI
41,"광주MBC뉴스 (Upcoming)",Up_Uu4XZgdRRDA,https://www.youtube.com/watch?v=Uu4XZgdRRDA
42,"PLAVE 플레이브 (Upcoming)",Up_l72PKh5hkf0,https://www.youtube.com/watch?v=l72PKh5hkf0
43,"ボートレース公式映像配信 JLCレジャーチャンネル (Upcoming)",Up_B-Rl7fcRveE,https://www.youtube.com/watch?v=B-Rl7fcRveE
44,"Little Girl Attorney (Upcoming)",Up_JcZpEorll5U,https://www.youtube.com/watch?v=JcZpEorll5U
45,"European Volleyball (Upcoming)",Up_dPc7jAmjRGc,https://www.youtube.com/watch?v=dPc7jAmjRGc
46,"Praise AG Church (Upcoming)",Up_hsBbH4MTLHU,https://www.youtube.com/watch?v=hsBbH4MTLHU
47,"ITTFWorld (Upcoming)",Up_ZT7SyMNEm24,https://www.youtube.com/watch?v=ZT7SyMNEm24
48,"ITTFWorld (Upcoming)",Up_DjPOoolRuZg,https://www.youtube.com/watch?v=DjPOoolRuZg
49,"Prasar Bharati Sports (Upcoming)",Up_QlZsY-5aafM,https://www.youtube.com/watch?v=QlZsY-5aafM
